src_ip,src_port,@timestamp,timestamp,hour,day_of_week,date
192.168.1.88,53608.0,2025-07-30 12:46:50.700000+00:00,2025-07-30T12:46:50.040Z,12,2,2025-07-30
192.168.1.88,53614.0,2025-07-30 12:46:50.700000+00:00,2025-07-30T12:46:50.039Z,12,2,2025-07-30
192.168.1.67,60474.0,2025-07-30 12:46:50.700000+00:00,2025-07-30T12:46:50.039Z,12,2,2025-07-30
192.168.1.88,53598.0,2025-07-30 12:46:50.700000+00:00,2025-07-30T12:46:50.039Z,12,2,2025-07-30
192.168.1.88,53598.0,2025-07-30 12:46:50.700000+00:00,2025-07-30T12:46:50.039Z,12,2,2025-07-30
192.168.1.67,60470.0,2025-07-30 12:46:50.700000+00:00,2025-07-30T12:46:50.038Z,12,2,2025-07-30
192.168.1.88,53596.0,2025-07-30 12:46:50.700000+00:00,2025-07-30T12:46:50.038Z,12,2,2025-07-30
192.168.1.88,53588.0,2025-07-30 12:46:50.700000+00:00,2025-07-30T12:46:50.027Z,12,2,2025-07-30
192.168.1.88,53578.0,2025-07-30 12:46:50.700000+00:00,2025-07-30T12:46:50.022Z,12,2,2025-07-30
192.168.1.88,34282.0,2025-07-30 12:46:45.691000+00:00,2025-07-30T12:46:45.027Z,12,2,2025-07-30
192.168.1.88,34274.0,2025-07-30 12:46:45.691000+00:00,2025-07-30T12:46:45.026Z,12,2,2025-07-30
192.168.1.88,34264.0,2025-07-30 12:46:45.691000+00:00,2025-07-30T12:46:45.026Z,12,2,2025-07-30
192.168.1.88,34274.0,2025-07-30 12:46:45.691000+00:00,2025-07-30T12:46:45.025Z,12,2,2025-07-30
192.168.1.88,34256.0,2025-07-30 12:46:45.691000+00:00,2025-07-30T12:46:45.024Z,12,2,2025-07-30
192.168.1.67,60468.0,2025-07-30 12:46:45.690000+00:00,2025-07-30T12:46:45.031Z,12,2,2025-07-30
192.168.1.67,60470.0,2025-07-30 12:46:45.690000+00:00,2025-07-30T12:46:45.029Z,12,2,2025-07-30
